Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
hduke@hotmail.com,1414 데이비드 쓰루웨이,#########,###########,###########,###########,###########,###########
pallen@yahoo.com,14023 로드리게스 패시지,######,###########,###########,###########,###########,###########
riverarebecca@gmail.com,645 마사 파크 아파트 611,###########,###########,###########,###########,###########,##########
mstephens@davidson-herman.com,68388 레예스 라이트 스위트 692,################,###########,###########,##########,###########,##########
alvareznancy@lucas.biz,유닛 6538 박스 8980,###########,###########,###########,###########,###########,###########
katherine20@yahoo.com,860 리 키,#############,##########,###########,###########,###########,###########
awatkins@yahoo.com,PSC 2734,####,###########,###########,###########,###########,###########
vchurch@walter-martinez.com, 박스 5255,######,##########,###########,###########,###########,##########
bonnie69@lin.biz,26104 알렉산더 그로브스,#####,###########,###########,###########,###########,###########
andrew06@peterson.com, MN 67218-7250,######,###########,###########,###########,###########,###########
ryanwerner@freeman.biz,"68388 Reyes Lights Suite 692
Josephbury",######,###########,#########,###########,###########,###########
knelson@gmail.com, WV 92213-0247,#########,###########,##########,###########,###########,###########
wrightpeter@yahoo.com,"Unit 6538 Box 8980
DPO AP 09026-4941",######,###########,###########,##########,###########,###########
taylormason@gmail.com,"860 Lee Key
West Debra",########,###########,###########,###########,###########,###########
jstark@anderson.com, SD 97450-0495,####,###########,###########,###########,###########,###########
wjennings@gmail.com,PSC 2734,##########,##########,###########,###########,###########,###########
rebecca45@hale-bauer.biz," Box 5255
APO AA 98456-7482",#########,###########,###########,###########,###########,###########
alejandro75@hotmail.com,"26104 Alexander Groves
Alexandriaport",####,###########,###########,###########,###########,###########
samuel46@love-west.net, WY 28244-9149,#############,###########,###########,##########,##########,###########
